,City,Country,Cloudiness,Humidity,Max Temp.,Wind Speed,Latitude,Longitude
433,Tazmalt,DZ,40,78,73.4,3.36,36.39,4.4
434,Praia da Vitoria,PT,20,82,66.2,17.29,38.73,-27.07
435,San Policarpo,PH,57,71,84.83,9.78,12.18,125.51
436,Palmer,AU,40,58,61.0,14.99,-34.85,139.16
437,Hohhot,CN,0,55,60.8,4.47,40.81,111.65
438,Yenagoa,NG,79,93,75.11,2.89,4.92,6.26
439,Navirai,BR,31,44,70.25,9.51,-23.07,-54.19
440,Ponazyrevo,RU,100,95,33.53,4.21,58.36,46.31
441,Meiganga,CM,100,96,62.69,1.88,6.52,14.29
442,Bilma,NE,0,12,84.65,7.67,18.69,12.92
443,Kofele,ET,100,91,58.19,3.24,7.07,38.78
444,Vyartsilya,RU,0,95,30.83,6.98,62.18,30.69
445,Sacama,EC,100,88,63.23,1.66,-3.9,-79.27
446,Dyshne-Vedeno,RU,90,87,50.0,8.95,42.96,46.12
447,Atambua,ID,66,74,76.55,10.63,-9.11,124.89
448,Seydi,NE,0,47,82.67,6.49,13.34,7.75
449,Nong Ki,TH,20,100,81.0,10.29,14.69,102.54
450,Redmond,US,90,63,66.2,3.36,47.67,-122.12
451,Derzhavinsk,KZ,92,37,64.85,17.85,51.1,66.31
452,Meadow Lake,CA,0,82,50.09,3.98,54.13,-108.44
453,Anjiang,CN,0,45,76.55,9.84,27.32,110.14
454,Vila Velha,BR,75,74,80.6,16.11,-3.71,-38.6
455,Rocha,UY,0,83,45.05,4.74,-34.48,-54.34
456,Bijni,IN,60,67,84.47,2.75,26.5,90.7
457,San Jose,HN,100,97,65.21,1.48,14.25,-87.96
458,Lugovoy,RU,100,94,40.91,6.93,59.72,65.88
459,Znamenskoye,RU,100,90,47.57,14.7,57.13,73.82
460,Phibun Mangsahan,TH,90,88,78.8,2.24,15.24,105.23
461,Bambari,CF,90,96,68.81,0.85,5.77,20.68
462,Marsh Harbour,BS,100,76,79.07,25.1,26.54,-77.06
463,Omsukchan,RU,95,53,38.03,5.84,62.53,155.8
464,Alice Town,BS,91,77,79.79,27.38,25.72,-79.3
465,Durant,US,1,69,84.2,5.82,33.99,-96.37
466,Gourdon,FR,0,68,69.8,10.29,44.74,1.38
467,Medicine Hat,CA,40,48,62.6,6.93,50.04,-110.68
468,Niquelandia,BR,97,26,82.13,3.87,-14.47,-48.46
469,Dzilam Gonzalez,MX,50,83,82.13,20.27,21.28,-88.93
470,Meulaboh,ID,100,79,80.87,4.61,4.14,96.13
471,Hobyo,SO,100,81,75.65,16.71,5.35,48.53
472,Nuuk,GL,100,93,39.2,8.05,64.17,-51.74
473,Newry,GB,75,87,61.0,11.41,54.18,-6.34
474,Rio Gallegos,AR,0,70,41.0,23.04,-51.62,-69.22
475,Shitanjing,CN,11,30,69.35,2.68,39.23,106.34
476,Daru,PG,100,87,76.01,12.53,-9.07,143.21
477,Yulara,AU,0,23,64.4,17.22,-25.24,130.99
478,Chapais,CA,1,82,62.6,6.93,49.78,-74.86
479,Tagbac,PH,40,66,90.0,2.24,7.09,125.16
480,Shunyi,CN,0,69,80.01,4.47,40.13,116.65
481,Henties Bay,NA,99,88,57.0,1.99,-22.12,14.28
482,Bundaberg,AU,10,41,79.0,10.29,-24.87,152.35
483,Port Shepstone,ZA,98,76,61.79,9.71,-30.74,30.45
484,Martil,MA,0,53,71.6,9.17,35.62,-5.28
485,Langsa,ID,100,79,78.35,3.0,4.47,97.97
486,Kichera,RU,32,57,49.73,6.55,55.93,110.1
487,Chabahar,IR,0,55,83.03,2.77,25.29,60.65
488,Shimoda,JP,75,57,86.0,14.99,34.7,138.93
489,Miri,NG,100,82,70.97,3.33,10.31,9.75
490,Babushkin,RU,88,79,54.05,7.4,51.72,105.86
491,Balkhash,KZ,0,39,62.6,13.42,46.84,74.98
492,Houma,CN,0,40,73.85,6.26,35.63,111.36
493,Awjilah,LY,0,78,69.71,9.8,29.14,21.3
494,Krasnaya Yaruga,RU,75,81,42.8,13.42,50.8,35.66
495,La Rioja,AR,0,31,49.55,2.8,-29.41,-66.86
496,Moree,AU,75,36,80.01,16.11,-29.46,149.84
497,Jega,NG,0,63,79.97,7.38,12.22,4.38
498,Esil,KZ,100,46,62.51,13.4,51.96,66.41
499,Saint Anthony,US,90,81,55.4,5.82,43.97,-111.68
500,Kiunga,PG,100,98,73.67,1.63,-6.12,141.3
501,Belyy Yar,RU,0,93,41.0,2.24,53.6,91.39
502,Uige,AO,95,79,70.79,1.92,-7.61,15.06
503,Yumen,CN,0,17,70.79,14.61,40.29,97.04
504,Sturgeon Falls,CA,5,94,68.0,6.93,46.36,-79.93
505,Bitam,GA,100,99,68.63,2.68,2.08,11.49
506,Seabra,BR,46,91,59.27,9.98,-12.42,-41.77
507,Botou,CN,0,37,79.79,9.04,38.08,116.55
508,Bjelovar,HR,0,86,41.0,1.25,45.9,16.84
509,Riachao das Neves,BR,0,33,74.03,3.76,-11.75,-44.91
510,Kayes,ML,19,72,80.51,2.04,14.44,-11.44
511,Beringovskiy,RU,23,50,38.39,17.25,63.05,179.32
512,Crotone,IT,24,60,63.77,2.53,39.09,17.12
513,Baykit,RU,100,96,35.69,9.44,61.68,96.39
514,Sandwick,GB,100,93,64.0,6.93,54.57,-2.89
515,Germantown,US,90,78,73.99,17.22,43.23,-88.11
516,Puerto Cabezas,NI,66,88,76.73,2.01,14.04,-83.39
517,Merritt,CA,1,59,64.4,21.92,50.11,-120.79
518,Newport,US,1,82,66.99,4.7,41.49,-71.31
519,Komsomolskiy,RU,0,77,31.73,4.99,67.55,63.78
520,Nuevo Progreso,US,75,69,86.0,3.36,26.05,-97.95
521,Terrace Bay,CA,99,98,63.05,10.18,48.78,-87.1
522,Hefei,CN,0,64,73.4,11.18,31.82,117.22
523,Skibbereen,IE,75,100,59.0,5.82,51.55,-9.27
524,Bethel,US,75,87,48.2,14.99,60.79,-161.76
525,Kupang,ID,20,58,82.4,5.82,-10.16,123.6
526,Scarborough,GB,100,93,59.0,2.24,54.28,-0.41
527,Kieta,PG,61,68,83.21,6.2,-6.22,155.63
528,Gizo,IL,40,73,75.2,4.7,31.8,34.94
529,Acajutla,SV,3,67,84.11,4.23,13.59,-89.83
530,Nova Odesa,UA,96,55,55.49,14.0,47.3,31.79
531,Sal Rei,CV,29,87,79.07,9.89,16.18,-22.92
532,Manzanillo,MX,40,74,86.0,3.62,19.05,-104.32
533,Hamilton,CA,20,88,72.0,5.82,43.26,-79.87
534,Sabinopolis,BR,0,87,61.25,3.89,-18.67,-43.08
535,Pangody,RU,0,71,36.05,16.11,65.85,74.49
536,Garowe,SO,75,67,73.31,20.67,8.41,48.48
537,Kosa,JP,75,83,78.8,10.29,32.67,130.82
